HIP     Vmag    RA             DE       Plx     pmRA     pmDE   e_Plx   B-V
2578    5.07    8.182476    -63.031379  21.52   86.15   -49.85  0.49    0.038
2710    6.90    8.613389    -6.503696   24.09   -72.45  -86.61  0.88    0.481
2712    7.38    8.622360    47.915397   21.20   397.41  59.85   0.87    0.549
2729    9.56    8.712882    -61.916018  21.78   87.33   -53.14  1.01    1.050
2736    8.97    8.739422    4.381889    22.17   107.60  -172.75 1.24    0.827
2760    7.37    8.807178    51.838509   22.87   51.84   -118.47 1.00    0.602
2797    9.31    8.908298    79.259146   20.78   176.27  -29.38  0.93    0.780
2824    8.37    8.967503    29.237851   21.23   102.28  -16.38  1.17    0.648
2828    11.26   8.970857    12.597401   23.82   -366.89 -313.57 2.40    1.310
2843    6.72    9.007174    -5.570457   21.19   225.69  -108.55 0.92    0.466
2848    8.40    9.016931    -49.127809  23.21   387.53  -133.01 1.15    0.780
2852    6.06    9.028761    -22.842211  20.12   -71.44  -50.35  0.91    0.297
2888    6.79    9.156804    -49.132001  22.79   385.20  -132.44 0.73    0.639
2944    6.99    9.342176    -37.287980  22.29   547.87  -40.97  0.84    0.723
2981    7.53    9.487066    47.407917   20.92   111.23  -84.37  0.97    0.463
3006    7.11    9.561303    84.675021   24.80   -19.99  -17.89  0.60    0.554
3028    9.21    9.638220    -12.172625  24.02   111.01  84.70   1.22    0.846
3086    7.34    9.803365    3.133202    21.79   781.34  296.76  0.88    0.633
3119    7.43    9.919210    11.532310   20.14   158.48  -11.77  0.91    0.538
3125    10.22   9.934979    -26.465959  24.73   244.35  -17.15  1.63    1.278
3142    6.68    9.989965    -33.961186  24.12   330.05  -108.27 0.82    0.519
3195    8.78    10.182398   -49.591752  23.09   181.51  -122.62 1.37    0.747
3210    7.37    10.214448   -53.209802  21.91   112.60  -47.59  0.82    0.539
3232    9.92    10.281968   19.254616   20.28   371.36  -78.25  1.77    0.930
3243    10.84   10.313306   -52.317206  22.95   131.51  8.63    3.02    1.270
3267    6.95    10.393825   65.868362   20.99   71.95   -60.45  0.66    0.579
3293    7.03    10.505973   40.688410   20.38   -9.53   -62.51  1.02    0.452
3330    5.38    10.617905   -65.468130  24.59   54.11   41.12   0.51    0.515
3337    9.10    10.638702   -54.119616  24.04   -71.72  -160.60 5.66    0.772
