HIP     Vmag    RA             DE       Plx     pmRA     pmDE   e_Plx   B-V
22319   6.51    72.115216   2.715138    21.03   4.94    80.79   0.86    0.846
22325   5.76    72.135536   -16.329581  24.06   7.09    39.68   0.75    0.537
22361   5.96    72.209430   75.941544   21.92   37.56   -133.28 0.57    0.283
22373   8.95    72.241699   -28.724102  22.50   -96.94  67.70   1.22    0.774
22380   8.98    72.264460   18.641338   21.38   82.39   -40.86  1.46    0.833
22395   7.88    72.305278   -31.426536  23.28   109.67  -21.01  1.08    0.676
22496   7.10    72.599450   17.202738   22.96   102.78  -29.70  1.17    0.563
22504   8.14    72.637067   -85.375075  23.20   48.40   -38.00  0.66    0.614
22505   7.73    72.640679   15.083504   23.64   89.49   -20.65  0.99    0.740
22550   6.79    72.802006   11.068047   20.15   87.60   -8.72   1.14    0.543
22559   9.25    72.819906   32.890231   20.54   -75.46  -261.19 1.47    0.860
22607   6.30    72.958017   13.655194   23.91   106.84  -16.00  1.04    0.502
22615   8.09    72.987353   66.496225   23.94   60.00   -99.00  0.95    0.770
22703   7.10    73.232419   75.710521   22.08   104.60  -174.43 0.98    0.740
22772   10.08   73.481566   -20.539502  23.05   -33.24  240.32  2.73    1.271
22921   10.02   73.986055   -30.858131  22.95   102.74  -209.62 2.13    1.146
22949   6.33    74.064966   24.592253   23.15   -22.30  -14.19  0.88    0.351
23027   8.60    74.276840   24.752212   22.09   -23.64  -7.62   1.58    0.714
23100   7.21    74.553955   40.057115   21.04   59.86   -102.59 1.07    0.496
23116   6.97    74.608976   -3.733004   20.13   78.36   48.37   1.08    0.516
23128   7.94    74.649107   -9.334057   23.13   -33.01  -97.78  0.92    0.581
23166   5.65    74.755991   -16.376337  23.17   -121.61 127.52  0.83    0.447
23179   4.93    74.814064   37.890482   20.50   46.26   -97.81  0.94    0.037
23204   7.29    74.902875   25.936064   20.20   -84.39  -88.04  1.01    0.803
23214   6.75    74.934460   15.916805   23.09   87.21   -29.19  0.83    0.450
23287   6.65    75.141364   3.615815    23.33   10.35   -27.39  12.95   -0.053
23296   6.31    75.165899   -2.066025   20.17   -12.94  -3.10   0.87    0.293
23302   10.84   75.175267   30.897159   24.66   -71.92  -99.37  2.38    1.243
23317   10.03   75.216582   61.125270   22.01   128.94  -221.17 2.26    1.036
23318   7.71    75.225224   77.775504   20.08   -13.50  1.15    0.69    0.560
23342   11.98   75.315279   -65.768548  23.98   132.18  322.90  2.39    1.410
23396   7.99    75.434431   20.830071   24.38   -65.85  -92.74  1.78    0.740
23497   4.62    75.773767   21.590062   20.01   68.94   -40.85  0.91    0.155
23575   8.60    76.025879   -0.648707   20.83   59.94   -143.50 1.22    0.741
23627   7.20    76.198001   -11.698502  23.59   74.83   -217.15 0.89    0.618
23641   9.27    76.222877   -69.168883  24.02   8.45    -3.85   0.95    0.787
23686   9.71    76.366019   -33.812429  21.18   21.72   -125.54 1.66    0.991
23694   10.02   76.378138   52.810386   21.85   14.06   -93.63  2.06    1.040
23716   7.87    76.479926   -13.913875  21.24   87.61   51.84   1.45    1.000
23824   6.80    76.826306   -83.860258  21.01   58.04   147.61  0.64    0.573
23869   8.61    76.947985   69.528973   23.54   52.41   -179.70 1.19    0.785
24021   7.41    77.441187   7.181554    21.39   51.64   14.61   1.21    0.464
24037   8.49    77.508801   -7.071173   21.80   -58.49  -241.45 1.22    0.681
24046   6.97    77.515585   27.556722   24.88   197.69  -88.54  1.06    0.505
24109   5.67    77.678629   46.962435   21.64   57.35   -150.22 0.87    0.452
24130   6.24    77.741562   -2.253748   20.66   85.61   -150.55 0.84    0.984
24133   7.61    77.746629   32.038757   21.39   -116.47 21.53   2.18    0.718
24157   9.62    77.818783   -56.057261  20.83   169.36  142.02  1.02    0.853
24190   9.52    77.903417   -1.855718   20.92   -86.09  20.90   1.67    0.925
24292   10.55   78.199742   16.307704   23.35   31.69   -262.46 1.86    1.230
24336   7.82    78.354422   3.687048    21.36   -36.81  22.24   1.34    0.637
24340   4.82    78.357215   38.484674   20.08   -18.66  -72.41  1.39    0.189
24463   10.33   78.743675   44.530703   24.56   17.81   -694.28 14.81   1.060
24493   6.15    78.827178   -1.409061   21.77   -35.52  8.78    0.91    0.401
24558   10.50   79.037753   16.942809   21.55   -148.64 -161.30 2.38    1.090
24597   8.28    79.146074   -42.514626  21.26   14.90   92.57   0.75    0.660
24629   7.47    79.250993   -31.277075  20.13   6.17    160.28  0.74    0.475
24655   10.40   79.356732   26.080319   24.03   -19.09  8.27    13.04   0.672
24658   6.96    79.364876   60.182001   20.31   -9.75   -132.99 0.76    0.458
24679   5.48    79.417693   -13.519708  20.69   -7.59   -48.49  0.78    0.932
24681   7.31    79.420753   7.353705    22.22   -3.74   -148.69 1.05    0.661
24720   10.80   79.525740   67.183239   22.57   111.49  -136.13 2.03    1.200
24947   7.39    80.158411   -39.754975  21.91   38.93   12.80   0.63    0.510
24965   9.15    80.212086   -77.920994  20.59   -100.36 278.66  0.80    0.794
25127   9.15    80.677967   13.229192   20.54   15.31   -45.45  1.22    0.706
25166   8.15    80.762950   46.986989   24.12   12.74   -84.71  1.17    0.780
25222   7.29    80.915213   64.125074   22.66   162.29  -125.43 0.96    0.538
25300   7.32    81.185074   63.386604   21.83   -125.65 -57.50  1.73    0.714
25393   9.16    81.478781   61.783064   22.37   199.75  12.82   1.20    1.026
25397   5.78    81.499263   -19.695353  23.24   3.43    -19.06  1.39    0.441
25414   8.35    81.530864   61.242116   20.64   94.82   -256.28 1.08    0.700
25428   1.65    81.572908   28.607873   24.89   23.28   -174.22 0.88    -0.130
25441   9.18    81.619289   -63.183382  22.25   -5.42   82.01   0.86    0.879
25523   9.58    81.874966   18.846429   21.24   56.36   -346.11 1.57    0.920
25559   10.12   81.941051   -28.799632  23.99   -40.53  -176.75 5.10    1.203
25606   2.81    82.061360   -20.759232  20.49   -5.03   -85.92  0.85    0.807
25670   8.27    82.246582   -17.429058  21.35   -84.60  -74.53  1.09    0.657
25679   8.32    82.263636   -19.142765  20.85   8.12    -80.09  1.06    0.702
25768   5.46    82.539424   -47.077334  22.87   20.84   -131.94 0.57    0.615
25795   8.30    82.626258   -37.203067  22.63   173.18  172.23  0.73    0.653
25840   6.95    82.749355   -10.080319  23.98   160.27  -316.26 0.86    0.561
25843   8.18    82.754931   -28.529096  20.22   -20.82  139.50  0.88    0.583
25880   7.54    82.871202   54.655545   24.43   -142.50 -354.00 1.18    0.620
25973   6.44    83.140333   57.221617   22.79   112.04  -224.63 0.81    0.587
26018   8.81    83.279070   20.036282   21.71   -71.00  -296.53 2.45    0.900
26067   8.83    83.400674   -51.065735  22.03   2.56    28.68   1.84    0.990
26245   6.74    83.861587   -33.269486  20.99   -42.54  105.71  0.85    0.502
26269   7.12    83.914743   -81.611943  20.12   -30.56  30.06   0.54    0.496
26392   7.09    84.279966   41.828336   22.35   4.28    -32.27  1.20    0.569
26412   6.15    84.318722   -27.871199  22.44   20.78   -67.08  0.73    0.322
26444   7.64    84.404291   6.112223    21.01   93.40   -89.05  1.20    0.578
26460   5.28    84.436013   -28.689794  23.54   -37.99  42.58   0.62    0.486
26563   4.77    84.721216   -7.212708   21.24   -15.00  -49.55  2.05    0.139
26614   10.25   84.859388   -22.838024  22.71   -23.17  -267.60 1.87    1.111
26624   5.99    84.879805   -3.564709   24.16   -3.88   2.10    0.73    0.294
26641   8.91    84.934280   -5.051442   20.28   42.47   297.46  1.25    0.647
26664   8.67    85.007073   6.061177    23.32   54.70   -245.76 1.31    0.827
26688   7.70    85.072965   -19.226680  20.61   -133.30 -195.88 0.89    0.417
26890   9.64    85.631773   61.312727   22.02   290.89  -130.22 1.55    0.909
26933   9.27    85.744584   54.257630   23.49   -146.05 -152.01 1.40    0.891
26985   8.76    85.885949   -76.768462  22.59   103.27  229.69  0.71    0.700
27021   7.10    85.969469   -21.279770  23.15   195.36  13.36   0.82    0.531
27100   4.34    86.193413   -65.735541  22.48   -28.38  6.12    0.46    0.217
27114   10.76   86.251512   -2.590954   22.07   5.14    -371.00 2.48    1.085
27134   9.28    86.305940   -59.924079  20.19   -21.50  120.82  0.81    0.849
27165   6.85    86.374124   52.161504   21.89   86.98   -178.32 0.88    0.637
27253   5.95    86.645661   1.168538    23.57   -80.05  -141.79 0.92    0.773
27371   8.80    86.956396   -40.064093  22.00   -8.50   113.31  0.79    0.710
27417   7.80    87.083659   -24.463762  23.48   -30.68  -36.54  0.83    0.566
27441   8.89    87.153295   -39.932181  22.53   28.00   66.59   0.83    0.857
27528   8.46    87.442438   32.973137   24.57   16.02   12.15   1.37    0.721
27531   9.86    87.458438   -72.413242  21.26   97.95   299.17  1.10    0.864
27802   10.39   88.248618   15.170645   20.53   175.68  103.31  2.11    1.400
27823   8.59    88.313517   -36.263593  21.06   -92.01  -42.71  0.84    0.696
27980   7.65    88.758413   -0.507848   21.41   -102.89 -50.72  1.10    0.629
28122   9.48    89.154664   10.551719   23.63   -16.57  10.15   3.20    0.722
28193   9.28    89.369979   -37.848405  23.92   -111.65 77.09   0.95    0.965
28358   3.72    89.881460   54.284982   23.22   86.31   -134.05 0.91    1.010
28393   8.65    89.957026   -48.239850  23.24   -42.27  65.16   1.02    0.887
28445   9.41    90.089080   31.430793   21.69   138.66  -299.12 1.73    0.930
28452   9.25    90.113105   -60.494131  21.97   11.11   -80.27  0.87    0.817
28502   9.69    90.255586   32.225488   20.33   29.06   -174.05 1.90    0.913
28614   4.12    90.595793   9.647368    21.49   14.19   -37.44  0.82    0.170
28644   6.23    90.729655   32.636211   20.02   81.47   -211.58 0.86    0.456
28734   4.16    91.030069   23.263632   21.64   -2.60   -119.72 1.06    0.835
28813   6.72    91.242432   14.388892   24.56   84.66   -188.03 0.85    0.508
28869   7.84    91.425335   -61.748607  20.51   -52.32  11.75   0.68    0.595
28884   9.42    91.480137   26.555750   23.97   -179.65 -375.57 1.45    0.888
28941   9.10    91.624376   -72.511728  22.11   0.50    -384.46 0.81    0.900
28987   6.83    91.749374   -46.205575  21.38   -90.93  -25.79  0.55    0.463
29074   8.02    91.996030   27.428458   22.46   25.89   -94.32  1.12    0.626
29083   6.95    92.026830   -15.901156  21.83   -37.74  -33.44  0.88    0.467
29242   8.44    92.485177   34.135932   25.00   33.54   -260.18 1.16    0.790
29248   8.48    92.503926   17.934769   22.18   210.11  -228.99 1.41    0.670
29312   10.87   92.709214   24.093114   20.84   -69.74  -63.21  2.93    
29330   8.80    92.763089   -13.800664  23.58   -17.03  -61.67  1.09    0.995
29444   8.60    93.058664   -65.534357  23.42   23.02   167.56  6.63    0.540
29582   10.37   93.502694   38.841707   20.95   2.67    -259.08 2.67    0.990
29644   8.70    93.701386   -19.728276  20.54   -126.48 -239.22 1.08    0.835
29725   6.86    93.912731   36.148681   20.70   -58.49  3.77    2.44    0.440
29814   9.18    94.178786   47.061544   20.39   58.32   -493.14 1.30    0.769
29824   9.05    94.210573   44.706533   24.87   -255.73 -333.27 1.15    0.790
29882   6.68    94.390382   35.149099   20.83   70.31   39.99   0.90    0.451
29974   8.41    94.656328   67.728463   21.00   -121.09 -31.86  1.39    0.780
30030   7.95    94.783547   -3.438887   20.10   10.65   -42.47  0.99    0.587
30034   9.13    94.803741   -58.054421  21.97   14.13   45.21   0.82    0.861
30060   4.44    94.905795   59.010905   21.88   -3.51   24.43   0.95    0.032
30220   9.09    95.365396   17.295087   24.89   10.55   -189.30 1.61    0.914
30232   7.73    95.405740   -18.166446  22.64   -45.96  -98.94  0.94    0.619
30243   7.63    95.431407   -0.538747   24.33   -3.61   -156.66 0.92    0.686
30258   8.98    95.483128   -78.717450  21.14   -31.31  146.56  0.73    0.793
30486   7.59    96.128320   38.569394   22.29   88.26   -91.90  1.05    0.629
30513   7.03    96.209174   4.872085    20.58   -38.45  -37.71  0.94    0.508
30544   8.81    96.318090   -34.378388  20.25   -66.95  -21.89  0.91    0.716
30706   6.48    96.781608   -37.895616  20.09   -1.38   44.75   0.61    0.394
30729   8.41    96.836142   -33.113847  22.18   -14.56  -69.99  0.80    0.708
30733   8.36    96.850440   -25.734784  22.53   -4.37   76.85   2.38    0.840
30860   7.89    97.190596   38.963093   20.43   -43.80  -53.45  0.98    0.740
30880   6.57    97.234706   26.967645   21.82   80.73   -77.54  1.03    0.554
30890   7.61    97.265719   17.745630   20.93   -123.00 -165.74 1.23    0.621
30944   9.97    97.416519   35.893184   20.70   353.36  -381.96 1.70    0.971
120003  9.10    97.790108   11.255857   20.03   1.84    -14.47  18.50   -0.039
31167   5.60    98.096374   -5.868718   23.13   -0.87   -41.78  0.76    0.256
31183   11.49   98.147895   37.903394   22.18   -175.78 -186.85 3.18    1.180
31187   8.97    98.154700   -29.582593  23.52   -69.51  66.22   1.03    0.799
31332   9.54    98.549053   -10.957563  21.80   -114.17 270.77  2.39    0.929
31451   10.17   98.839081   44.649161   22.98   -68.99  -186.84 1.69    1.300
31473   8.14    98.890227   76.866504   23.47   -38.24  -61.26  0.79    0.687
31509   6.36    98.975302   -36.088455  24.83   -59.85  -73.04  0.56    0.486
31575   7.79    99.127635   72.009816   20.03   -45.16  -245.80 0.79    0.700
31581   9.42    99.139219   13.998215   20.36   -51.06  -324.21 1.69    0.879
31732   9.55    99.584875   60.240658   20.09   92.76   -195.99 1.51    0.747
31821   8.44    99.798563   -26.571942  20.56   -34.27  27.38   2.07    0.769
31833   11.48   99.832964   -49.293554  21.21   105.92  294.17  2.99    
31931   10.35   100.095186  -82.380731  20.94   -65.82  281.74  2.72    1.086
31965   7.60    100.204336  51.979035   23.57   -0.34   -291.68 0.96    0.672
32001   11.47   100.293110  61.136006   23.86   -77.18  -209.27 3.54    
32104   5.20    100.601344  17.645514   23.41   6.97    -86.87  2.44    0.063
32144   6.26    100.691993  -22.448836  20.45   -54.07  100.90  1.11    0.321
32251   8.53    101.005987  -42.715060  20.04   -81.42  215.12  0.71    0.685
32270   11.61   101.058605  -0.925438   23.79   -209.49 15.30   3.13    1.348
32329   7.20    101.228600  20.860622   21.77   93.72   12.86   1.07    0.562
32382   7.47    101.370258  44.233847   22.09   143.37  -189.41 0.86    0.614
32414   11.13   101.503433  -66.408017  21.48   177.68  -72.87  5.64    
32609   5.54    102.050968  55.704450   21.26   57.71   -104.75 1.32    
32617   5.75    102.079533  -1.318839   24.95   -37.74  -34.33  0.75    0.292
32644   7.02    102.149098  -4.075709   22.44   -48.94  -81.11  2.23    0.553
32673   8.07    102.224706  37.505301   23.06   -112.00 -62.29  1.23    0.677
32702   7.30    102.339020  43.759230   22.41   -35.12  -48.59  0.87    0.546
32728   8.96    102.408803  36.441796   22.39   192.46  -139.36 1.39    0.657
32916   8.10    102.877039  40.868055   24.55   34.96   -122.85 1.14    0.729
32933   9.61    102.918208  5.754997    22.01   -235.89 -117.62 2.07    0.977
32945   9.75    102.940005  69.041255   20.14   -16.95  -207.24 1.74    1.088
32970   7.21    103.008637  -33.915727  21.16   -69.02  68.52   0.68    0.614
33241   10.58   103.737618  12.159011   20.63   -77.27  -373.88 2.39    1.259
33383   9.09    104.143434  28.965755   23.46   -24.81  -11.41  27.04   0.408
33390   12.35   104.155936  -59.184368  22.34   -138.49 449.98  5.05    1.500
33451   6.23    104.323388  -35.507201  23.15   -40.38  19.58   0.56    0.465
33497   7.62    104.443450  22.892896   23.74   -141.52 -141.43 1.13    0.558
33595   6.20    104.697982  26.080851   21.10   -162.14 94.10   0.90    0.520
33654   10.01   104.872581  -17.255129  22.78   -263.90 181.07  1.76    1.054
33671   7.78    104.930818  -29.707511  21.26   0.60    -124.13 0.74    0.533
33799   7.66    105.268821  -21.964790  23.06   -11.09  54.25   0.96    0.534
33932   8.31    105.619024  79.164602   20.88   -6.56   -80.72  0.85    0.627
33933   10.51   105.620362  -14.676319  23.39   113.34  -298.22 4.48    1.186
34025   9.58    105.891863  39.676143   21.30   -142.38 -107.76 2.80    1.023
34095   9.08    106.043628  5.212927    22.46   -50.82  10.33   1.32    0.806
34269   10.54   106.557741  -47.586831  21.26   134.60  -145.36 1.26    1.161
34271   8.25    106.570251  22.683678   22.77   -89.12  -77.67  1.03    0.702
34407   7.80    107.001137  15.529098   21.96   -51.42  -206.54 1.05    0.560
34426   7.70    107.050065  15.521364   22.23   -56.97  -212.48 1.04    0.530
34473   5.68    107.176423  -70.497340  22.16   17.17   104.08  4.14    0.436
34481   3.78    107.186769  -70.499194  23.02   23.71   108.06  0.69    1.006
34511   8.00    107.271051  15.422286   22.78   -158.51 -287.86 1.10    0.631
34540   7.77    107.342304  16.549844   21.57   -133.05 -138.97 1.19    0.559
34608   6.43    107.528284  21.248135   21.67   -174.67 -473.14 0.82    0.880
34617   6.23    107.538987  -18.685597  20.08   11.68   -16.71  1.10    0.419
34698   10.20   107.806306  -58.016756  23.63   -308.22 165.40  1.10    1.170
34700   8.01    107.811656  32.615033   21.86   -110.82 -5.71   1.10    0.573
34714   7.16    107.831504  33.111883   21.82   -111.55 -8.00   1.02    0.431
34782   6.10    108.017163  -30.821421  21.02   -43.60  23.11   0.61    0.273
34805   7.33    108.072192  -67.782253  21.62   198.51  -202.94 0.54    0.737
34860   6.46    108.204492  27.225060   22.65   13.25   -97.78  2.03    0.502
35071   11.49   108.786094  15.929566   21.84   211.80  -172.32 3.27    0.940
35145   8.50    108.976772  43.562016   22.07   0.04    -66.09  1.32    0.744
35209   7.34    109.151639  1.879049    24.32   60.05   -115.68 0.97    0.609
35310   6.72    109.410489  9.292362    22.85   4.44    -114.02 1.79    0.565
35359   7.52    109.551236  -51.050098  20.17   25.95   -152.15 0.60    0.556
35437   7.17    109.735395  -45.297536  21.28   -237.80 112.01  0.58    0.519
35487   5.70    109.867006  -16.394913  22.71   165.37  -136.41 0.80    0.346
35706   10.11   110.508258  68.274040   21.75   41.14   122.83  1.91    1.140
35718   8.73    110.541299  -1.863348   22.06   -369.14 256.15  1.14    0.774
35750   9.37    110.610856  8.902775    22.40   184.88  -315.51 1.61    0.897
35803   6.78    110.769287  18.273514   22.68   -36.66  -42.00  1.09    0.455
35846   5.04    110.868976  25.050600   21.17   -66.59  -28.44  0.91    0.902
35873   9.46    110.948562  10.706060   23.12   8.37    -7.58   8.74    0.969
35900   10.31   111.010713  67.353529   22.16   35.91   -169.49 1.67    0.951
35910   6.58    111.039515  -58.492283  20.61   -87.79  137.52  0.53    0.710
35985   9.48    111.238172  -38.351676  20.44   -3.56   -119.30 1.25    0.888
35989   9.16    111.248005  46.100368   20.44   -289.37 -310.08 1.46    0.814
35992   9.65    111.249978  -38.349410  20.73   -3.00   -118.82 1.50    0.944
36014   7.69    111.325386  56.569301   24.06   -56.05  -58.55  1.02    0.603
36081   6.88    111.515211  -15.665665  23.59   -64.75  -103.65 0.90    0.620
36129   8.64    111.630569  60.546635   24.63   -145.92 -476.26 1.12    0.845
36272   8.96    112.018199  30.322781   21.41   -20.56  -154.23 1.33    0.894
36277   10.53   112.025655  76.122282   21.32   193.56  -333.17 1.61    0.848
36290   8.80    112.050096  9.498851    23.15   -68.61  -269.43 1.26    0.760
36294   7.93    112.066974  46.286281   20.20   -26.60  -75.96  1.04    0.599
36310   8.15    112.107630  4.153282    21.33   -148.47 -38.69  1.19    0.775
36319   9.26    112.139573  19.653647   23.47   115.56  -248.57 1.64    0.770
36393   5.07    112.335264  28.118404   20.00   -33.30  -52.91  0.97    0.120
36481   7.07    112.597320  19.814233   24.21   58.50   -127.99 1.12    0.604
36485   7.16    112.609382  13.865008   20.92   -43.00  -21.23  1.21    0.505
36491   8.48    112.620829  18.962344   20.00   29.21   -436.67 1.66    0.538
36497   7.95    112.633443  13.844479   20.02   -32.87  -30.46  0.98    0.586
36509   7.11    112.665028  27.908838   21.42   -46.48  -42.15  1.05    0.465
36622   8.78    112.966807  -61.692229  20.26   57.90   16.18   0.77    0.722
36723   5.59    113.298647  3.290275    23.44   -15.73  42.84   0.77    0.321
36731   8.32    113.318200  -22.300918  22.34   46.84   -247.05 1.22    0.671
36836   6.71    113.620490  -13.870405  21.80   -35.10  94.51   0.86    0.488
36866   8.79    113.685181  -66.644068  22.27   -37.84  230.54  0.77    0.853
36893   6.97    113.780877  48.680756   20.29   4.14    46.62   0.94    0.354
37031   5.89    114.144875  5.862104    22.92   -108.76 27.66   0.89    0.602
37162   9.64    114.553595  43.573647   23.45   -116.33 -150.38 2.24    0.966
37165   6.37    114.559845  24.360393   21.27   10.84   19.90   0.83    0.337
37246   10.84   114.746220  19.217689   21.66   52.90   -197.64 2.57    1.596
37265   4.89    114.791485  34.584633   20.62   -35.97  -118.03 0.96    0.413
37267   10.92   114.793545  29.909427   20.47   -168.89 -201.67 2.17    1.277
37283   6.89    114.840337  50.528686   21.54   -79.58  -61.14  0.89    0.473
37412   9.95    115.213835  19.589647   24.02   -351.89 -158.16 1.58    1.140
37447   3.94    115.311986  -9.551083   22.61   -74.80  -19.64  0.80    1.022
37504   3.93    115.454983  -72.606135  24.36   33.38   15.29   0.48    1.033
37528   11.06   115.537950  -18.829059  22.01   276.56  -229.39 2.30    1.252
37551   10.25   115.602343  42.939848   24.42   -177.76 -90.92  2.31    1.061
37710   5.80    116.040597  -36.062713  22.99   -79.39  85.83   0.51    0.320
37732   7.72    116.082348  -5.055412   21.33   -31.63  192.75  1.11    0.612
37735   8.79    116.086031  -69.511239  20.33   2.50    95.17   1.42    0.900
37740   3.57    116.111952  24.398129   22.73   -22.45  -56.24  0.83    0.932
37781   8.39    116.196451  -33.732010  21.34   -64.08  103.25  2.03    0.793
38021   7.08    116.885726  9.632189    23.80   -42.57  152.51  1.03    0.576
38126   10.02   117.194844  36.671613   24.16   -155.67 -155.25 2.01    1.150
38129   7.14    117.205802  -38.203962  23.61   -125.36 -43.60  0.63    0.489
38134   7.93    117.222763  -24.972838  20.14   152.49  -239.09 1.09    0.546
38172   7.09    117.328882  24.488776   23.22   -124.09 -20.88  0.93    0.488
38225   7.88    117.475280  86.365602   21.19   -68.70  -133.95 0.67    0.601
38236   10.93   117.498819  -34.495906  23.80   -145.38 -19.21  1.51    1.686
38250   9.26    117.534148  -39.081163  20.54   -79.37  153.61  0.97    0.815
38374   8.58    117.925179  9.386511    20.06   -76.52  -188.73 1.27    0.726
38474   5.76    118.199463  -5.428187   24.45   -21.36  -28.80  0.95    0.412
38646   9.36    118.700299  -49.836844  20.74   -102.36 256.69  1.06    0.838
38747   8.37    118.992561  -9.797144   20.69   21.01   -25.39  1.15    0.671
38862   8.00    119.303134  -14.591540  21.75   -252.13 201.37  1.00    0.630
39221   5.78    120.336448  59.047318   22.94   25.30   32.64   0.78    0.421
39298   8.06    120.522664  -12.804080  23.24   -127.69 -223.46 1.05    0.721
39325   7.61    120.608474  4.152327    23.79   64.40   -105.30 1.62    0.709
39391   8.68    120.795588  -54.014217  20.90   -1.41   -86.53  0.82    0.728
39400   8.73    120.824626  37.370243   20.40   -38.86  22.40   1.20    0.672
39418   6.74    120.870037  12.181442   23.18   -126.25 -57.91  0.98    0.571
39436   11.28   120.920310  -24.476477  22.23   -41.43  51.05   3.16    1.639
39470   10.90   121.007818  -35.275981  23.03   9.39    -82.17  1.51    1.017
39528   8.43    121.178227  24.330147   22.65   -34.16  37.02   1.17    0.727
39720   7.30    121.786595  -36.381657  21.26   -37.13  100.37  0.67    0.548
39721   9.70    121.787883  7.383724    24.85   1.37    -141.66 3.92    1.211
39804   7.27    122.008396  -13.508033  20.32   -25.50  -26.71  0.97    0.541
39822   8.18    122.045792  71.925520   21.15   -237.91 -448.36 0.93    0.621
39821   10.73   122.046006  9.173815    21.52   -240.51 111.07  2.87    1.616
39887   8.86    122.205582  -76.637696  20.52   100.73  -129.45 1.49    0.980
39908   7.62    122.261712  -20.499421  21.52   9.18    -97.38  0.89    0.555
40001   6.65    122.547186  35.455562   20.17   220.16  -236.55 0.97    0.538
40023   5.73    122.613450  25.508180   23.82   -71.82  -348.06 0.74    0.825
40072   8.83    122.790790  -46.297365  24.98   -124.72 -11.84  1.00    0.862
40089   11.29   122.835540  47.581331   24.30   -178.44 -37.57  3.95    1.380
40093   6.61    122.840545  38.731499   21.97   -107.58 -76.02  0.80    0.593
40174   8.19    123.067009  -40.503091  23.78   -146.62 127.30  0.76    0.619
40227   9.39    123.236379  -40.539126  20.98   193.97  -151.65 1.08    0.820
40298   8.42    123.439910  63.103681   24.51   142.98  113.40  1.04    0.676
40420   11.01   123.783473  15.040455   22.77   -45.31  -228.52 2.30    
40449   9.62    123.880126  9.978155    20.66   -33.78  -145.26 1.62    1.014
40465   9.25    123.938151  -10.448337  23.07   -63.36  -48.42  1.59    0.965
40613   7.74    124.372638  -3.988549   20.46   -145.07 -438.72 1.16    0.584
40663   8.80    124.507427  -4.018948   21.83   -200.35 -37.25  1.58    0.826
40732   11.48   124.697872  -3.361573   21.41   -232.59 35.97   4.02    1.207
40858   6.18    125.054069  -0.909103   24.50   39.29   -86.53  1.14    0.607
40888   4.34    125.162033  -77.484576  21.22   -129.09 40.78   0.47    1.161
40942   8.48    125.336733  34.310236   23.12   -116.45 -109.92 1.17    0.737
41209   7.07    126.138374  -1.147950   22.91   85.24   -188.61 0.95    0.589
41226   7.06    126.189145  17.182059   21.49   9.12    -126.18 0.95    0.539
41269   10.10   126.297531  32.610780   24.18   13.71   -674.83 1.83    1.021
41274   7.35    126.308961  -7.170213   20.20   -117.76 -9.56   0.90    0.952
41277   10.39   126.320589  4.253782    21.60   -54.64  -96.35  1.94    1.030
41319   6.11    126.458307  17.046638   22.24   -192.75 -152.48 0.92    0.448
41322   10.24   126.465486  -16.379868  20.49   -186.39 26.17   2.70    1.338
41351   9.19    126.549633  -5.751132   23.31   115.47  -151.33 1.72    0.851
41425   9.95    126.740117  -0.341840   21.11   -214.74 -36.33  1.95    1.010
41431   10.89   126.753740  21.956804   20.60   -1.00   22.71   2.59    1.380
41479   7.17    126.896664  -5.148440   23.89   -125.04 -79.90  1.01    0.646
41526   7.98    127.037396  47.302303   22.29   -11.19  -45.78  1.02    0.639
41573   7.40    127.150153  1.247530    22.26   -46.10  -16.73  1.07    0.525
41598   7.12    127.215461  53.862351   23.73   86.50   -59.77  0.80    0.565
41637   11.97   127.361125  55.124106   20.22   156.02  -328.11 7.67    1.237
41681   9.18    127.458980  -46.994664  20.81   -24.07  67.74   0.91    0.805
41777   8.22    127.787344  -54.088643  23.16   62.65   151.72  0.67    0.790
41810   9.58    127.866396  54.460782   21.51   -168.32 -155.65 1.45    0.916
41832   8.13    127.920728  53.560808   21.96   -49.62  -101.45 1.11    0.610
41844   7.44    127.979624  50.617516   24.54   -82.02  -338.97 0.94    0.630
41967   8.26    128.314198  -29.956632  21.87   -42.60  17.27   0.88    0.660
41984   7.05    128.366776  -41.616351  21.86   -39.71  -139.05 0.61    0.735
42042   6.69    128.547651  -36.906350  21.73   -84.78  61.73   0.57    0.428
42080   5.47    128.650781  65.145273   20.63   -47.06  -42.50  0.71    0.207
42215   7.22    129.096486  -38.455517  22.44   27.99   63.07   0.64    0.509
42228   9.72    129.152968  -5.614494   21.06   94.21   -128.74 1.58    0.982
42248   9.17    129.200492  24.474425   20.08   -191.60 127.15  1.40    0.757
42253   8.73    129.232712  23.246908   24.04   -106.71 -104.47 2.97    0.779
42279   7.29    129.309930  77.046623   22.49   37.43   68.27   0.62    0.540
42343   7.02    129.490213  -8.881519   20.69   -158.44 -29.51  0.84    0.516
42344   9.43    129.494610  -27.652164  20.03   -148.17 94.87   1.31    0.000
42356   7.54    129.535791  26.049421   22.99   -127.29 -183.67 0.91    0.632
42408   8.19    129.705826  -5.947894   23.74   230.85  -338.05 1.13    0.698
42455   6.12    129.842555  -36.606819  24.86   -165.53 54.98   0.55    0.426
42575   8.00    130.176860  55.668630   23.81   -264.56 -370.02 1.01    0.675
